title,studio,domestic_gross,foreign_gross,year,total_gross
certified copy,IFC,1400000,4099999,2011,5499999
thank you (2011),UTV,464000,5000000,2011,5464000
the company men,Wein.,4400000,441000,2011,4841000
force,FoxS,0,4800000,2011,4800000
tucker & dale vs. evil,Magn.,224000,4500000,2011,4724000
london boulevard,IFC,16100,4600000,2011,4616100
dylan dog: dead of night,OMNI/FSR,1200000,3400000,2011,4600000
the names of love,MBox,514000,4099999,2011,4613999
the way,PDA,4400000,0,2011,4400000
burke and hare,IFC,4800,4300000,2011,4304800
king of devil's island,FM,7600,4200000,2011,4207600
bride flight,MBox,501000,3700000,2011,4201000
trollhunter,Magn.,253000,3900000,2011,4153000
buck,IFC,4000000,0,2011,4000000
